PID,reciprocal
15029296,"153966123,5800582,1500013435,319769408,3562121415"
153966123,"60461511,2419105112,779379510055763968,1370645833,10191772"
5800582,"452658911,4163579753,41493699,25949869,305358151"
1500013435,"29271892,612155334,96022517,785099695895015424,2836703082"
319769408,"25084660,15934076,20643592,49708023,39804874"
3562121415,"369093749,199482756,1027176686,264050862,533539874"
60461511,"150003563,175541135,33440371,153966123,109431441"
2419105112,"153966123,111897759,73774244,750833357542584320"
779379510055763968,"153966123,618457134,290634863,746857952322162688,994833600"
1370645833,"322606204,20120818,46636018,74694859,63796828"
10191772,"225445834,243474426,59248607,107280372,1101924312"
4163579753,"14645160,18438022,68036460,264099812,18857913"
41493699,"23603092,824659850,1345609681,872695783,444389361"
25949869,"318954420,15350768,108521411,484866500,3690624973"
305358151,"25458378,5800582,2842229397,16347551,205840429"
29271892,"3064348555,1360142317,3100655558,369352648,888306226764935168"
612155334,"2318221211,3139341697,1257672565,3177865126,14626684"
96022517,"722740458758225920,19226515,91135990,305012548,14262217"
785099695895015424,"931232527934562304,14245872,4427972598,823208514545917952,900341843229102080"
2836703082,"33857467,518340481,817951923626196992,4173152175,369352648"
25084660,2987563765
20643592,"257834640,53654843,599920430,319769408,20926233"
49708023,"178690996,48569578,81965252,772470713773125632,818617004"
39804874,"26270971,152411615,755504,179607869,16406939"
369093749,"794167305139785728,1658180250,733419117139496960,2306767430,3653221577"
199482756,"15484256,3562121415,369119640,342794853,8613282"
1027176686,"27583645,170049408,3562121415,870761709274902528,956298603999395842"
264050862,"14700316,20204789,16305370,50735431,180560224"
533539874,"717313,285428413,3562121415,419487011,20052487"
175541135,143955704
33440371,"212105265,76121745,250812631,91844076,3193157530"
153966123,"60461511,2419105112,779379510055763968,1370645833,10191772"
109431441,2847223757
153966123,"60461511,2419105112,779379510055763968,1370645833,10191772"
111897759,"29122382,1406619086,1714460329,247380353,33403290"
73774244,"167781199,18438022,370765440,2359688628,30479919"
750833357542584320,"214421778,2419105112,226578237,2195689411,286141080"
153966123,"60461511,2419105112,779379510055763968,1370645833,10191772"
618457134,"882089684,912342381554520064,1554153193,1472192155,1405992943"
290634863,"704836348,781810789728550912,407531477,2529871982,277417962"
746857952322162688,"533903727,4860338679"
994833600,"2727784468,36022228,2477187379,1030639831,2492060676"
322606204,"1619910121,71639139,201640842,1101861644,407481847"
63796828,"31313277,764215033,954927536718282752,718225089586733056,2247854208"
225445834,151141544
243474426,"291913712,72531955,138936312,140214267,173932540"
59248607,"508097690,156781724,132349970,1564096190,1116036842"
107280372,"59215690,82122584,24737091,42945901,62530556"
1101924312,"243474426,133963775,4685651959,814063336790904832,105652217"
14645160,"2851975510,2431374793,17395982,184480634,789899452085514240"
18438022,"830862756060487680,942948206,856323261378027520,961458799528824832,781057800382349312"
68036460,"1641154532,503140337,2208370553,2973546419,1004726210"
264099812,"912623630135173120,3101949927,787256969992077312,272551889,400543685"
18857913,"185475045,1479141344,816692173462786048,27164642,430840583"
23603092,"325076723,2289100194,733227625,317449391,3433111882"
824659850,"826931454219321344,4179047422,465369605,801528769831927808,2324662781"
1345609681,"851316548,164386441,1465030585,125517500,241962713"
872695783,"113934335,1045594087,922406389850390528,812546141866770432,3312877527"
444389361,"1558962122,259590096,1299392437,944101332,961647156145938432"
318954420,"2362453994,948283739779473408,815852015431520256,350836679,1879668690"
15350768,"227977025,1578358687,1597292472,2834471042,307587019"
108521411,"922675633716527104,1709080435,732046715780403200,2807455639,812597206641295361"
484866500,"3166748630,2893643707,3049496461,4661305332,4846092198"
3690624973,"2237423610,751648969768312832,732933733657939969,731321811502174209,816184720048328704"
25458378,"2236296698,605822969"
